Model1,Model2,Wilcoxon_p,Vargha_A
GPT-3.5,GPT-4o-mini,0.03125,0.0
GPT-3.5,GPT-4o,0.03125,0.0
GPT-3.5,GPT-5-Chat,0.0625,0.16666666666666666
GPT-3.5,DeepSeek-V2,0.03125,1.0
GPT-3.5,DeepSeek-V3,0.4375,0.5
GPT-3.5,Mistral,0.03125,1.0
GPT-4o-mini,GPT-4o,0.03125,0.888888888888889
GPT-4o-mini,GPT-5-Chat,0.03125,0.9722222222222223
GPT-4o-mini,DeepSeek-V2,0.03125,1.0
GPT-4o-mini,DeepSeek-V3,0.4375,0.5833333333333334
GPT-4o-mini,Mistral,0.03125,1.0
GPT-4o,GPT-5-Chat,0.4375,0.36111111111111116
GPT-4o,DeepSeek-V2,0.03125,1.0
GPT-4o,DeepSeek-V3,0.4375,0.5
GPT-4o,Mistral,0.03125,1.0
GPT-5-Chat,DeepSeek-V2,0.03125,1.0
GPT-5-Chat,DeepSeek-V3,0.4375,0.5
GPT-5-Chat,Mistral,0.03125,1.0
DeepSeek-V2,DeepSeek-V3,0.4375,0.5
DeepSeek-V2,Mistral,0.03125,0.0
DeepSeek-V3,Mistral,0.4375,0.5
