Model1,Model2,Wilcoxon_p,Vargha_A
GPT-3.5,GPT-4o-mini,0.03125,0.0
GPT-3.5,GPT-4o,0.4375,0.3055555555555555
GPT-3.5,GPT-5-Chat,0.03125,0.05555555555555558
GPT-3.5,DeepSeek-V2,0.03125,1.0
GPT-3.5,DeepSeek-V3,0.03125,0.0
GPT-3.5,Mistral,0.4375,0.6944444444444445
GPT-4o-mini,GPT-4o,0.0625,0.8333333333333334
GPT-4o-mini,GPT-5-Chat,0.5625,0.6111111111111112
GPT-4o-mini,DeepSeek-V2,0.03125,1.0
GPT-4o-mini,DeepSeek-V3,0.4375,0.16666666666666666
GPT-4o-mini,Mistral,0.03125,1.0
GPT-4o,GPT-5-Chat,0.15625,0.13888888888888884
GPT-4o,DeepSeek-V2,0.03125,1.0
GPT-4o,DeepSeek-V3,0.03125,0.0
GPT-4o,Mistral,0.0625,0.7777777777777777
GPT-5-Chat,DeepSeek-V2,0.03125,1.0
GPT-5-Chat,DeepSeek-V3,0.03125,0.0
GPT-5-Chat,Mistral,0.0625,0.9444444444444443
DeepSeek-V2,DeepSeek-V3,0.03125,0.0
DeepSeek-V2,Mistral,0.03125,0.0
DeepSeek-V3,Mistral,0.03125,1.0
